Date,Country,Holiday
"2014, 1, 1",Denmark, Nytårsdag
"2014, 4, 17",Denmark, Skærtorsdag
"2014, 4, 18",Denmark, Langfredag
"2014, 4, 20",Denmark, Påskedag
"2014, 4, 21",Denmark, Anden påskedag
"2014, 5, 16",Denmark, Store bededag
"2014, 5, 29",Denmark, Kristi himmelfartsdag
"2014, 6, 8",Denmark, Pinsedag
"2014, 6, 9",Denmark, Anden pinsedag
"2014, 12, 25",Denmark, Juledag
"2014, 12, 26",Denmark, Anden juledag
"2011, 1, 1",Denmark, Nytårsdag
"2011, 4, 21",Denmark, Skærtorsdag
"2011, 4, 22",Denmark, Langfredag
"2011, 4, 24",Denmark, Påskedag
"2011, 4, 25",Denmark, Anden påskedag
"2011, 5, 20",Denmark, Store bededag
"2011, 6, 2",Denmark, Kristi himmelfartsdag
"2011, 6, 12",Denmark, Pinsedag
"2011, 6, 13",Denmark, Anden pinsedag
"2011, 12, 25",Denmark, Juledag
"2011, 12, 26",Denmark, Anden juledag
"2012, 1, 1",Denmark, Nytårsdag
"2012, 4, 5",Denmark, Skærtorsdag
"2012, 4, 6",Denmark, Langfredag
"2012, 4, 8",Denmark, Påskedag
"2012, 4, 9",Denmark, Anden påskedag
"2012, 5, 4",Denmark, Store bededag
"2012, 5, 17",Denmark, Kristi himmelfartsdag
"2012, 5, 27",Denmark, Pinsedag
"2012, 5, 28",Denmark, Anden pinsedag
"2012, 12, 25",Denmark, Juledag
"2012, 12, 26",Denmark, Anden juledag
"2013, 1, 1",Denmark, Nytårsdag
"2013, 3, 28",Denmark, Skærtorsdag
"2013, 3, 29",Denmark, Langfredag
"2013, 3, 31",Denmark, Påskedag
"2013, 4, 1",Denmark, Anden påskedag
"2013, 4, 26",Denmark, Store bededag
"2013, 5, 9",Denmark, Kristi himmelfartsdag
"2013, 5, 19",Denmark, Pinsedag
"2013, 5, 20",Denmark, Anden pinsedag
"2013, 12, 25",Denmark, Juledag
"2013, 12, 26",Denmark, Anden juledag
"2015, 1, 1",Denmark, Nytårsdag
"2015, 4, 2",Denmark, Skærtorsdag
"2015, 4, 3",Denmark, Langfredag
"2015, 4, 5",Denmark, Påskedag
"2015, 4, 6",Denmark, Anden påskedag
"2015, 5, 1",Denmark, Store bededag
"2015, 5, 14",Denmark, Kristi himmelfartsdag
"2015, 5, 24",Denmark, Pinsedag
"2015, 5, 25",Denmark, Anden pinsedag
"2015, 12, 25",Denmark, Juledag
"2015, 12, 26",Denmark, Anden juledag
"2016, 1, 1",Denmark, Nytårsdag
"2016, 3, 24",Denmark, Skærtorsdag
"2016, 3, 25",Denmark, Langfredag
"2016, 3, 27",Denmark, Påskedag
"2016, 3, 28",Denmark, Anden påskedag
"2016, 4, 22",Denmark, Store bededag
"2016, 5, 5",Denmark, Kristi himmelfartsdag
"2016, 5, 15",Denmark, Pinsedag
"2016, 5, 16",Denmark, Anden pinsedag
"2016, 12, 25",Denmark, Juledag
"2016, 12, 26",Denmark, Anden juledag
"2017, 1, 1",Denmark, Nytårsdag
"2017, 4, 13",Denmark, Skærtorsdag
"2017, 4, 14",Denmark, Langfredag
"2017, 4, 16",Denmark, Påskedag
"2017, 4, 17",Denmark, Anden påskedag
"2017, 5, 12",Denmark, Store bededag
"2017, 5, 25",Denmark, Kristi himmelfartsdag
"2017, 6, 4",Denmark, Pinsedag
"2017, 6, 5",Denmark, Anden pinsedag
"2017, 12, 25",Denmark, Juledag
"2017, 12, 26",Denmark, Anden juledag
"2018, 1, 1",Denmark, Nytårsdag
"2018, 3, 29",Denmark, Skærtorsdag
"2018, 3, 30",Denmark, Langfredag
"2018, 4, 1",Denmark, Påskedag
"2018, 4, 2",Denmark, Anden påskedag
"2018, 4, 27",Denmark, Store bededag
"2018, 5, 10",Denmark, Kristi himmelfartsdag
"2018, 5, 20",Denmark, Pinsedag
"2018, 5, 21",Denmark, Anden pinsedag
"2018, 12, 25",Denmark, Juledag
"2018, 12, 26",Denmark, Anden juledag}
"2014, 1, 1",Belgium, Nieuwjaarsdag
"2014, 4, 20",Belgium, Pasen
"2014, 4, 21",Belgium, Paasmaandag
"2014, 5, 29",Belgium, O.L.H. Hemelvaart
"2014, 6, 8",Belgium, Pinksteren
"2014, 6, 9",Belgium, Pinkstermaandag
"2014, 5, 1",Belgium, Dag van de Arbeid
"2014, 7, 21",Belgium, Nationale feestdag
"2014, 8, 15",Belgium, O.L.V. Hemelvaart
"2014, 11, 1",Belgium, Allerheiligen
"2014, 11, 11",Belgium, Wapenstilstand
"2014, 12, 25",Belgium, Kerstmis
"2013, 1, 1",Belgium, Nieuwjaarsdag
"2013, 3, 31",Belgium, Pasen
"2013, 4, 1",Belgium, Paasmaandag
"2013, 5, 9",Belgium, O.L.H. Hemelvaart
"2013, 5, 19",Belgium, Pinksteren
"2013, 5, 20",Belgium, Pinkstermaandag
"2013, 5, 1",Belgium, Dag van de Arbeid
"2013, 7, 21",Belgium, Nationale feestdag
"2013, 8, 15",Belgium, O.L.V. Hemelvaart
"2013, 11, 1",Belgium, Allerheiligen
"2013, 11, 11",Belgium, Wapenstilstand
"2013, 12, 25",Belgium, Kerstmis
"2012, 1, 1",Belgium, Nieuwjaarsdag
"2012, 4, 8",Belgium, Pasen
"2012, 4, 9",Belgium, Paasmaandag
"2012, 5, 17",Belgium, O.L.H. Hemelvaart
"2012, 5, 27",Belgium, Pinksteren
"2012, 5, 28",Belgium, Pinkstermaandag
"2012, 5, 1",Belgium, Dag van de Arbeid
"2012, 7, 21",Belgium, Nationale feestdag
"2012, 8, 15",Belgium, O.L.V. Hemelvaart
"2012, 11, 1",Belgium, Allerheiligen
"2012, 11, 11",Belgium, Wapenstilstand
"2012, 12, 25",Belgium, Kerstmis
"2011, 1, 1",Belgium, Nieuwjaarsdag
"2011, 4, 24",Belgium, Pasen
"2011, 4, 25",Belgium, Paasmaandag
"2011, 6, 2",Belgium, O.L.H. Hemelvaart
"2011, 6, 12",Belgium, Pinksteren
"2011, 6, 13",Belgium, Pinkstermaandag
"2011, 5, 1",Belgium, Dag van de Arbeid
"2011, 7, 21",Belgium, Nationale feestdag
"2011, 8, 15",Belgium, O.L.V. Hemelvaart
"2011, 11, 1",Belgium, Allerheiligen
"2011, 11, 11",Belgium, Wapenstilstand
"2011, 12, 25",Belgium, Kerstmis
"2015, 1, 1",Belgium, Nieuwjaarsdag
"2015, 4, 5",Belgium, Pasen
"2015, 4, 6",Belgium, Paasmaandag
"2015, 5, 14",Belgium, O.L.H. Hemelvaart
"2015, 5, 24",Belgium, Pinksteren
"2015, 5, 25",Belgium, Pinkstermaandag
"2015, 5, 1",Belgium, Dag van de Arbeid
"2015, 7, 21",Belgium, Nationale feestdag
"2015, 8, 15",Belgium, O.L.V. Hemelvaart
"2015, 11, 1",Belgium, Allerheiligen
"2015, 11, 11",Belgium, Wapenstilstand
"2015, 12, 25",Belgium, Kerstmis
"2016, 1, 1",Belgium, Nieuwjaarsdag
"2016, 3, 27",Belgium, Pasen
"2016, 3, 28",Belgium, Paasmaandag
"2016, 5, 5",Belgium, O.L.H. Hemelvaart
"2016, 5, 15",Belgium, Pinksteren
"2016, 5, 16",Belgium, Pinkstermaandag
"2016, 5, 1",Belgium, Dag van de Arbeid
"2016, 7, 21",Belgium, Nationale feestdag
"2016, 8, 15",Belgium, O.L.V. Hemelvaart
"2016, 11, 1",Belgium, Allerheiligen
"2016, 11, 11",Belgium, Wapenstilstand
"2016, 12, 25",Belgium, Kerstmis
"2017, 1, 1",Belgium, Nieuwjaarsdag
"2017, 4, 16",Belgium, Pasen
"2017, 4, 17",Belgium, Paasmaandag
"2017, 5, 25",Belgium, O.L.H. Hemelvaart
"2017, 6, 4",Belgium, Pinksteren
"2017, 6, 5",Belgium, Pinkstermaandag
"2017, 5, 1",Belgium, Dag van de Arbeid
"2017, 7, 21",Belgium, Nationale feestdag
"2017, 8, 15",Belgium, O.L.V. Hemelvaart
"2017, 11, 1",Belgium, Allerheiligen
"2017, 11, 11",Belgium, Wapenstilstand
"2017, 12, 25",Belgium, Kerstmis
"2018, 1, 1",Belgium, Nieuwjaarsdag
"2018, 4, 1",Belgium, Pasen
"2018, 4, 2",Belgium, Paasmaandag
"2018, 5, 10",Belgium, O.L.H. Hemelvaart
"2018, 5, 20",Belgium, Pinksteren
"2018, 5, 21",Belgium, Pinkstermaandag
"2018, 5, 1",Belgium, Dag van de Arbeid
"2018, 7, 21",Belgium, Nationale feestdag
"2018, 8, 15",Belgium, O.L.V. Hemelvaart
"2018, 11, 1",Belgium, Allerheiligen
"2018, 11, 11",Belgium, Wapenstilstand
"2018, 12, 25",Belgium, Kerstmis
"2018, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2018, 2, 12",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2018, 2, 13",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2018, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2018, 3, 29",Argentina, Semana Santa 
"2018, 3, 30",Argentina, Semana Santa 
"2018, 4, 1",Argentina, Día de Pascuas [Easter Day]
"2018, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2018, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2018, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2018, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2018, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2018, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2018, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2018, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2018, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2018, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2018, 12, 25",Argentina, Navidad [Christmas]
"2017, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2017, 2, 27",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2017, 2, 28",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2017, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2017, 4, 13",Argentina, Semana Santa 
"2017, 4, 14",Argentina, Semana Santa 
"2017, 4, 16",Argentina, Día de Pascuas [Easter Day]
"2017, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2017, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2017, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2017, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2017, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2017, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2017, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2017, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2017, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2017, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2017, 12, 25",Argentina, Navidad [Christmas]
"2016, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2016, 2, 8",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2016, 2, 9",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2016, 3, 24",Argentina," ""Semana Santa "
"2016, 3, 25",Argentina, Semana Santa 
"2016, 3, 27",Argentina, Día de Pascuas [Easter Day]
"2016, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2016, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2016, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2016, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2016, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2016, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2016, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2016, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2016, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2016, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2016, 12, 25",Argentina, Navidad [Christmas]
"2015, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2015, 2, 16",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2015, 2, 17",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2015, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2015, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War] Semana Santa 
"2015, 4, 3",Argentina, Semana Santa 
"2015, 4, 5",Argentina, Día de Pascuas [Easter Day]
"2015, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2015, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2015, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2015, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2015, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2015, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2015, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2015, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2015, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2015, 12, 25",Argentina, Navidad [Christmas]
"2014, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2014, 3, 3",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2014, 3, 4",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2014, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2014, 4, 17",Argentina, Semana Santa 
"2014, 4, 18",Argentina, Semana Santa 
"2014, 4, 20",Argentina, Día de Pascuas [Easter Day]
"2014, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2014, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2014, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2014, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2014, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2014, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2014, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2014, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2014, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2014, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2014, 12, 25",Argentina, Navidad [Christmas]
"2013, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2013, 2, 11",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2013, 2, 12",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2013, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2013, 3, 28",Argentina, Semana Santa 
"2013, 3, 29",Argentina, Semana Santa 
"2013, 3, 31",Argentina, Día de Pascuas [Easter Day]
"2013, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2013, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2013, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2013, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2013, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2013, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2013, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2013, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
"2013, 11, 20",Argentina, Día Nacional de la Soberanía [National Sovereignty Day]
"2013, 12, 8",Argentina, La Inmaculada Concepción [Immaculate Conception]
"2013, 12, 25",Argentina, Navidad [Christmas]
"2012, 1, 1",Argentina," ""Año Nuevo [New Years Day]"""
"2012, 2, 20",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2012, 2, 21",Argentina," ""Día de Carnaval [Carnivals Day]"""
"2012, 3, 24",Argentina," ""Día Nacional de la Memoria por la Verdad y la Justicia [Memorys National Day for the Truth and Justice]"""
"2012, 4, 5",Argentina, Semana Santa 
"2012, 4, 6",Argentina, Semana Santa 
"2012, 4, 8",Argentina, Día de Pascuas [Easter Day]
"2012, 4, 2",Argentina, Día del Veterano y de los Caidos en la Guerra de Malvinas [Veterans Dayand the Fallen in the Malvinas War]
"2012, 5, 1",Argentina, Día del Trabajo [Labour Day]
"2012, 5, 25",Argentina, Día de la Revolucion de Mayo [May Revolution Day]
"2012, 6, 17",Argentina, Día Pase a la Inmortalidad del General Martín Miguel de Güemes [Day Pass to the Immortality of General Martín Miguel de Güemes]
"2012, 6, 20",Argentina, Día Pase a la Inmortalidad del General D. Manuel Belgrano [Day Pass to the Immortality of General D. Manuel Belgrano]
"2012, 7, 9",Argentina, Día de la Independencia [Independence Day]
"2012, 8, 17",Argentina, Día Pase a la Inmortalidad del General D. José de San Martin [Day Pass to the Immortality of General D. José de San Martin]
"2012, 10, 12",Argentina, Día del Respeto a la Diversidad Cultural [Respect for Cultural Diversity Day]
